city,shop_name
安庆市,安庆麦当劳华茂餐厅
鞍山市,鞍山麦当劳五一路餐厅
鞍山市,鞍山麦当劳海城海洲大街餐厅
鞍山市,鞍山麦当劳民生路餐厅
鞍山市,鞍山麦当劳万达餐厅
百色市,百色麦当劳中山二路餐厅
保定市,河北麦当劳保定裕华路餐厅
保定市,河北麦当劳保定东风路餐厅
保定市,河北麦当劳涿州范阳西路餐厅
保定市,河北麦当劳保定朝阳南大街餐厅
保定市,河北麦当劳高碑店迎宾中路餐厅
保定市,保定麦当劳定州中山路时代广场餐厅
保定市,河北麦当劳保定建华大街餐厅
保定市,河北麦当劳保定阳光大街
保定市,保定麦当劳乐凯大街餐厅
保定市,涿州麦当劳范阳东路餐厅
保定市,河北麦当劳保定复兴路餐厅
宝鸡市,宝鸡麦当劳经二路餐厅
包头市,包头麦当劳文化路餐厅
包头市,包头麦当劳钢铁大街餐厅
包头市,包头麦当劳为一购物广场餐厅
包头市,包头麦当劳九原区万达广场餐厅
包头市,麦当劳麦乐送（包头帝景华联店）
巴中市,四川麦当劳容邦国际餐厅
北海市,北海麦当劳和安餐厅
北海市,北海麦当劳万达餐厅
北海市,北海麦当劳银滩中路餐厅
北海市,北海麦当劳四川路餐厅
北京市,北京麦当劳东大桥餐厅
北京市,北京麦当劳西单华威餐厅
北京市,北京麦当劳京宝餐厅
北京市,北京麦当劳劲松餐厅
北京市,北京麦当劳海淀餐厅
北京市,北京麦当劳古城餐厅
北京市,北京麦当劳白广路餐厅
北京市,北京麦当劳亚运村餐厅
北京市,北京麦当劳阜成门万通餐厅
北京市,北京麦当劳航天桥餐厅
北京市,北京麦当劳军博餐厅
北京市,北京麦当劳三里河餐厅
北京市,北京麦当劳洋桥餐厅
北京市,北京麦当劳国华餐厅
北京市,北京麦当劳建国门餐厅
北京市,北京麦当劳成府路餐厅
北京市,北京麦当劳丰台桥南餐厅
北京市,北京麦当劳芳城园餐厅
北京市,北京麦当劳甜水园餐厅
北京市,北京麦当劳苏州桥餐厅
北京市,北京麦当劳翠微路餐厅
北京市,北京麦当劳交道口餐厅
北京市,北京麦当劳团结湖餐厅
北京市,北京麦当劳双榆树餐厅
北京市,北京麦当劳怀柔餐厅
北京市,北京麦当劳昌平餐厅
北京市,北京麦当劳潘家园餐厅
北京市,北京麦当劳玉泉路餐厅
北京市,北京麦当劳右安门外餐厅
北京市,北京麦当劳和平街北口餐厅
北京市,北京麦当劳清河餐厅
北京市,北京麦当劳三元餐厅
北京市,北京麦当劳志新路餐厅
北京市,北京麦当劳大兴餐厅
北京市,北京麦当劳农光里餐厅
北京市,北京麦当劳定福庄餐厅
北京市,北京麦当劳德胜餐厅
北京市,北京麦当劳工体北路餐厅
北京市,北京麦当劳灯市口餐厅
北京市,北京麦当劳甘家口餐厅
北京市,北京麦当劳平谷餐厅
北京市,北京麦当劳华清餐厅
北京市,北京麦当劳顺义餐厅
北京市,北京麦当劳安贞餐厅
北京市,北京麦当劳安立路餐厅
北京市,北京麦当劳建金餐厅
北京市,北京麦当劳知春路餐厅
北京市,北京麦当劳北师大餐厅
北京市,北京麦当劳通州西门餐厅
北京市,北京麦当劳远大路餐厅
北京市,北京麦当劳花家地餐厅
北京市,北京麦当劳草桥餐厅
北京市,北京麦当劳幸福大街餐厅
北京市,北京麦当劳虎坊路餐厅
北京市,北京麦当劳北苑秋实路餐厅
北京市,北京麦当劳木樨园餐厅
北京市,北京麦当劳朝外餐厅
北京市,北京麦当劳朝阳路DT餐厅
北京市,北京麦当劳西单明珠餐厅
北京市,北京麦当劳九棵树餐厅
北京市,北京麦当劳望京中街餐厅
北京市,北京麦当劳展览路餐厅
